ID,Lane,Length,Netin,Netout,Loc,Dir,S_in,L_in,R_in,S_out,L_out,R_out,x0,y0,x1,y1
C124000830214,2,70,True,True,0,0,C124000830213,0,0,C124000830215,0,0,213183.352606,547889.161742,213161.913037,547822.528969
C124000830215,2,70,True,True,0,0,C124000830214,0,0,C124000830216,0,0,213161.913037,547822.528969,213140.473469,547755.896195
C124000830216,2,70,True,True,0,0,C124000830215,0,0,C124000830217,0,0,213140.473469,547755.896195,213119.0339,547689.263421
C124000830217,2,70,True,True,3,1,C124000830216,0,0,C12400083011,0,C12400340001,213119.0339,547689.263421,213087.03,547589.7974
C12400084021,2,70,True,True,3,2,C12400084013,C12400339006,0,C12400084022,C12400339006,0,213098.4721,547586.181,213119.91164,547652.813783
C12400084022,2,70,True,True,0,0,C12400084021,0,0,C12400084023,0,0,213119.91164,547652.813783,213141.35118,547719.446565
C12400084023,2,70,True,True,0,0,C12400084022,0,0,C12400084024,0,0,213141.35118,547719.446565,213162.79072,547786.079348
C12400084024,2,70,True,True,0,0,C12400084023,0,0,C12400084025,0,0,213162.79072,547786.079348,213184.230261,547852.71213
C12400084025,2,70,True,True,0,0,C12400084024,0,0,C12400084026,0,0,213184.230261,547852.71213,213205.669801,547919.344913
C12400084026,2,70,True,True,0,0,C12400084025,0,0,C12400084027,0,0,213205.669801,547919.344913,213227.109341,547985.977696
C12400084027,2,70,True,True,0,0,C12400084026,0,0,C12400084028,0,0,213227.109341,547985.977696,213248.548881,548052.610478
C12400084028,2,70,True,True,0,0,C12400084027,0,0,C12400084029,0,0,213248.548881,548052.610478,213269.988421,548119.243261
C12400084029,2,70,True,True,0,0,C12400084028,0,0,C124000840210,0,0,213269.988421,548119.243261,213291.427961,548185.876043
C124000840210,2,70,True,True,0,0,C12400084029,0,0,C124000840211,0,0,213291.427961,548185.876043,213312.867502,548252.508826
C124000840211,2,70,True,True,0,0,C124000840210,0,0,C124000840212,0,0,213312.867502,548252.508826,213334.307042,548319.141608
C124000840212,2,70,True,True,0,0,C124000840211,0,0,C124000840213,0,0,213334.307042,548319.141608,213355.746582,548385.774391
C124000840213,2,70,True,True,0,0,C124000840212,0,0,C124000840214,0,0,213355.746582,548385.774391,213377.186122,548452.407174
C124000840214,2,70,True,True,0,0,C124000840213,0,0,C124000840215,0,0,213377.186122,548452.407174,213398.625662,548519.039956
C124000840215,2,70,True,True,0,0,C124000840214,0,0,C124000840216,0,0,213398.625662,548519.039956,213420.065202,548585.672739
C124000840216,2,70,True,True,0,0,C124000840215,0,0,C124000840217,0,0,213420.065202,548585.672739,213441.504742,548652.305521
C124000840217,2,70,True,True,1,1,C124000840216,0,0,C12400110021,0,C12400406001,213441.504742,548652.305521,213473.5303,548751.839
C12400109021,3,70,True,True,2,2,C12400123009,0,C12400113027,C12400109022,0,0,213541.9256,548990.2,213519.389719,548923.937833
C12400109022,3,70,True,True,0,0,C12400109021,0,0,C12400109023,0,0,213519.389719,548923.937833,213496.853839,548857.675666
C12400109023,3,70,True,True,4,1,C12400109022,0,0,C12400083021,0,C12400007031,213496.853839,548857.675666,213462.0863,548755.4488
