LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,MAX_SPD,x0,y0,x1,y1,Length,NumCell,CellLen
1240000501,1240014700,1240014600,0,6,60,211807.5338,548447.1406,211866.8006,548422.2697,64.27364101,3,70
1240045300,1240020500,1240021800,0,1,50,210872.0659,549921.9632,210957.2997,550247.387,336.853131,3,70
1240000602,1240014700,1240015400,0,5,60,211812.0169,548458.2703,211391.3286,548620.7248,450.9650018,3,70
1240000502,1240015400,1240014700,0,5,60,211387.0057,548609.5305,211807.6941,548447.076,450.9650957,3,70
1240000603,1240015400,1240015900,0,5,60,211391.4373,548620.6816,211185.5911,548704.8193,222.37728,3,70
1240020500,1240021800,1240022400,0,3,50,210957.1078,550246.2939,211026.7259,550487.7408,251.2939872,3,70
1240000503,1240015900,1240015400,0,5,60,211181.0508,548693.7114,211386.897,548609.5737,222.3772802,3,70
1240048000,1240022400,1240001400,0,4,30,211026.8861,550488.4319,211057.6833,550591.1174,107.5235347,3,70
1240012001,1240015300,1240016000,0,2,40,211940.8737,548595.5253,211989.5571,548723.0547,136.5055148,3,70
1240011901,1240016000,1240015300,0,2,40,211978.3462,548727.3344,211929.6628,548599.805,136.5055152,3,70
1240040000,1240016500,1240016900,0,2,30,210958.8187,548787.9001,210925.8352,548847.5582,69.86066459,3,70
1240000403,1240013900,1240014600,0,5,60,212065.5184,548357.1876,211871.3139,548433.3877,208.6185247,3,70
1240039600,1230056800,1240016400,0,1,30,210898.4221,548743.411,210979.5606,548768.7697,88.77818998,3,70
1240000303,1240014600,1240013900,0,4,60,211866.9307,548422.2169,212061.1353,548346.0167,208.6186545,3,70
1230091700,1230057100,1230056700,0,1,30,210855.5694,548818.4239,210888.3842,548752.3911,75.76164149,3,70
1240010000,1240014600,1240015300,0,3,40,211874.7133,548425.6251,211940.8593,548595.4879,182.2869936,3,70
1240040300,1240017000,1240032600,0,1,30,210914.9487,548853.3568,210861.0436,548829.1278,60.98295465,3,70
1240009900,1240015300,1240014600,0,3,40,211929.6772,548599.8423,211863.5313,548429.9795,182.2869579,3,70
